"SiteCode","Countrycode","LocalCode","LocalName","Lat","Lon","EoICode","Altitude","AirQualityStationType","AirQualityStationArea","MeasurementType","InletHeight","BuildingDistance","KerbDistance","Source"
"ITF33_0bKZ1iBE.","IT","ARPACAMPANIA_PR","Portici Parco Reggia",40.81597,14.35025,"IT2270A",75,"background","urban","automatic",4.4,NA,NA,"ARPAC"
"ITF33_0bNm1iVJ.","IT","ARPACAMPANIA_CAPORALE","Acerra Scuola Caporale",40.94046,14.3702,"IT2219A",27,"background","urban","automatic",4.4,NA,NA,"ARPAC"
"ITF33_0bQA1iS8.","IT","ARPACAMPANIA_AREAASI","Pomigliano D'Arco Area ASI",40.92083,14.385,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF33_0bSk1ibc.","IT","ARPACAMPANIA_ACERRAZI","Acerra Zona Industriale",40.97965,14.40098,"IT2211A",29,"industrial","suburban","automatic",4.4,NA,NA,"ARPAC"
"ITF34_0cSl1iRn.","IT","ARPACAMPANIA_ALIGHIERI","Avellino Scuola Alighieri",40.9187,14.78549,"IT2227A",357,"traffic","urban","automatic",4.4,8,3,"ARPAC"
"ITF34_0cZ81iEO.","IT","ARPACAMPANIA_SOLOFRAZI","Solofra Zona Industriale",40.83556,14.825,"IT2210A",303,"industrial","suburban","automatic",4.4,NA,NA,"ARPAC"
"ITF35_0c5r1hz0.","IT","ARPACAMPANIA_SOLIMENA","Nocera Inferiore Sc. Solimena",40.74025,14.64347,"IT2214A",48,"traffic","urban","automatic",4.4,1,2,"ARPAC"
"ITF35_0cFM1huI.","IT","ARPACAMPANIA_STADIO","Cava dei Tirreni Stadio",40.71098,14.70244,"IT2213A",191,"background","suburban","automatic",4.4,NA,NA,"ARPAC"
"ITF35_0cPd1hpe.","IT","ARPACAMPANIA_SA22","Salerno SA22 Osp. Via Vernieri",40.68222,14.76611,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF35_0cRT1hrl.","IT","ARPACAMPANIA_SA23","Salerno SA23 Scuola Conti",40.69528,14.7775,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF35_0cVp1hmK.","IT","ARPACAMPANIA_MERC","Salerno Parco Mercatello",40.66164,14.80451,"IT2269A",11,"background","urban","automatic",4.4,NA,NA,"ARPAC"
"ITF35_0cxT1heB.","IT","ARPACAMPANIA_PARCOF","Battipaglia Parco Fiume",40.61108,14.97586,"IT2268A",70,"background","urban","automatic",4.4,NA,NA,"ARPAC"
"ITF35_0eNF1hKL.","IT","ARPACAMPANIA_POLLA","Polla Area Ritovagliatore",40.48808,15.52008,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITH10_0SFA1xGb.","IT","LA1","Laces - Via Stazione",46.61528,10.85722,NA,NA,NA,NA,NA,NA,NA,NA,"APPA-Bolzano"
"ITH10_0T2J1xOA.","IT","ME1","Merano - Via Trogmann",46.66222,11.16194,NA,NA,NA,NA,NA,NA,NA,NA,"APPA-Bolzano"
"ITH10_0TKZ1wWs.","IT","AB2","Autostrada Sud - Egna",46.33181,11.27511,NA,NA,NA,NA,NA,NA,NA,NA,"APPA-Bolzano"
"ITH10_0TV21wxH.","IT","BZ5","Bolzano 5 - Piazza Adriano",46.49547,11.33997,NA,NA,NA,NA,NA,NA,NA,NA,"APPA-Bolzano"
"ITH10_0TV31wnU.","IT","LS1","Laives - Via Galizia",46.43484,11.34014,"IT1696A",230,"background","suburban","automatic",4.3,NA,NA,"APPA-Bolzano"
"ITH10_0TVA1wvB.","IT","BZ4","Bolzano 4 - Via C.Augusta",46.4825,11.34083,NA,NA,NA,NA,NA,NA,NA,NA,"APPA-Bolzano"
"ITH10_0UEN1xQu.","IT","AB3","Autostrada Nord - Bressanone",46.67917,11.62111,NA,NA,NA,NA,NA,NA,NA,NA,"APPA-Bolzano"
"ITH20_0SiY1vO0.","IT","402206","ROVERETO LGP",45.89244,11.03941,"IT0591A",200,"background","urban","automatic",4,NA,NA,"APPA-Trento"
"ITH20_0SwY1vpV.","IT","402209","TRENTO PSC",46.06293,11.12621,"IT1037A",203,"background","urban","automatic",4,NA,NA,"APPA-Trento"
"ITH20_0TnP1vni.","IT","402201","BORGO VAL",46.05184,11.45389,"IT0703A",380,"background","suburban","automatic",4,NA,NA,"APPA-Trento"
"ITH31_0Sh31uBu.","IT","502315","VR-Giarol Grande",45.43301,11.03009,"IT2243A",49,"background","suburban","automatic",2.75,NA,NA,"ARPAV"
"ITH32_0TZV1uvA.","IT","502404","Schio",45.71356,11.36766,NA,190,"background","urban",NA,NA,NA,NA,"ARPAV"
"ITH32_0UWt1v2X.","IT","502401","Bassano del Grappa",45.75927,11.73585,"IT1065A",114,"background","urban","automatic",2.75,NA,NA,"ARPAV"
"ITH34_0Vpq1uoP.","IT","502608","TV - Via Lancieri",45.67172,12.23781,"IT1590A",15,"background","urban","automatic",2.75,NA,NA,"ARPAV"
"ITH34_0WXo1vF3.","IT","502609","Mansue'",45.83688,12.5104,"IT1596A",14,"background","rural","automatic",2.75,NA,NA,"ARPAV"
"ITH35_0Wkl1uhX.","IT","502715","S.Dona' di Piave",45.62909,12.59068,"IT1222A",3,"background","urban","automatic",2.75,NA,NA,"ARPAV"
"ITH36_0Uno1u1u.","IT","502808","PD - Mandria",45.37098,11.84084,"IT1453A",13,"background","urban","active",2.75,NA,NA,"ARPAV"
"ITH41_0Wvb1vZH.","IT","MAR","viale Marconi - Pordenone",45.96234,12.65795,"IT2201A",30,"traffic","urban","automatic",2.5,NA,NA,"ARPA-FVG"
"ITH41_0WvI1vZJ.","IT","PNC","Pordenone Centro",45.96254,12.65595,"IT2201A",30,"traffic","urban","automatic",2.5,NA,NA,"ARPA-FVG"
"ITH42_0YRb1vq1.","IT","CAI","via Cairoli - Udine",46.06612,13.24069,"IT0966A",100,"background","urban","automatic",2.5,NA,NA,"ARPA-FVG"
"ITH43_0ZQB1vVC.","IT","AOS","via Duca D'Aosta - Gorizia",45.93701,13.61633,"IT1587A",50,"traffic","urban","automatic",2.5,NA,NA,"ARPA-FVG"
"ITH51_0P9Z1tAH.","IT","5000065","PARCO MONTECUCCO",45.03854,9.66935,"IT1975A",61,"background","urban","automatic",3.4,NA,NA,"ARPAE"
"ITH51_0PIr1tCq.","IT","5000020","CENO",45.05442,9.72686,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAE"
"ITH51_0PMF1tD5.","IT","5000024","GERBIDO",45.05589,9.74795,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAE"
"ITH51_0Q401t2N.","IT","5000062","BESENZONE",44.9895,10.0192,"IT1924A",48,"background","rural","automatic",3.4,NA,NA,"ARPAE"
"ITH52_0Qla1sAw.","IT","2000214","BADIA",44.65823,10.28937,"IT1911A",202,"background","rural","automatic",3,NA,NA,"ARPAE"
"ITH52_0QsI1sWa.","IT","2000003","CITTADELLA",44.79242,10.33099,"IT0804A",60,"background","urban","automatic",3,NA,NA,"ARPAE"
"ITH52_0QuU1seT.","IT","2000232","PARADIGNA",44.84128,10.34457,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAE"
"ITH52_0Qyt1ss8.","IT","2000219","SARAGAT",44.92596,10.37191,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAE"
"ITH52_0R231scV.","IT","2000230","BOGOLESE",44.82914,10.39154,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAE"
"ITH52_0R3M1smT.","IT","2000229","MALCANTONE",44.89093,10.39961,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAE"
"ITH53_0Rjw1sFu.","IT","3000007","S. LAZZARO",44.68904,10.66359,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAE"
"ITH53_0Rk81sjh.","IT","3000022","S. ROCCO",44.87373,10.66478,"IT1914A",22,"background","rural","automatic",3,NA,NA,"ARPAE"
"ITH53_0RvH1ro2.","IT","3000001","CASTELLARANO",44.51624,10.7339,"IT0903A",150,"background","suburban","automatic",3,NA,NA,"ARPAE"
"ITH54_0S4i1rrw.","IT","4000155","PARCO EDILCARANI",44.54038,10.79236,"IT2073A",118,"background","urban","automatic",3,NA,NA,"ARPAE"
"ITH54_0SNF1s9s.","IT","4000022","PARCO FERRARI",44.65157,10.90731,"IT1771A",34,"background","urban","automatic",3,NA,NA,"ARPAE"
"ITH54_0T531ssa.","IT","4000152","GAVELLO",44.92877,11.17895,"IT1921A",4,"background","rural","automatic",3,NA,NA,"ARPAE"
"ITH55_0SOq1qpQ.","IT","7000042","CASTELLUCCIO",44.14044,10.91717,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAE"
"ITH55_0TTB1rlQ.","IT","7000015","PORTA SAN FELICE",44.50002,11.3285,"IT1159A",54,"traffic","urban","automatic",3,20,7,"ARPAE"
"ITH55_0TXS1rim.","IT","7000014","GIARDINI MARGHERITA",44.48363,11.35504,"IT0892A",43,"background","urban","automatic",3,NA,NA,"ARPAE"
"ITH55_0UEy1sAI.","IT","7000027","SAN PIETRO CAPOFIUME",44.65423,11.62482,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAE"
"ITH56_0UIy1sbj.","IT","8000040","VILLA FULVIA",44.82426,11.64962,"IT1918A",9,"background","urban","automatic",3,NA,NA,"ARPAE"
"ITH56_0V471sOH.","IT","8000041","OSTELLATO",44.7409,11.94194,"IT1919A",0,"background","rural","automatic",3,NA,NA,"ARPAE"
"ITH56_0V7F1seD.","IT","8000007","GHERARDI",44.83975,11.96125,"IT1179A",-2,"background","rural","automatic",3,NA,NA,"ARPAE"
"ITH57_0Ut41rCq.","IT","9000083","PARCO BERTOZZI",44.28561,11.8734,"IT2209A",35,"background","urban","automatic",3,NA,NA,"ARPAE"
"ITH57_0VAe1rpq.","IT","9000068","BALLIRANA",44.52743,11.98236,"IT1927A",1,"background","rural","automatic",3,NA,NA,"ARPAE"
"ITH57_0Vnq1rYP.","IT","9000021","CAORLE",44.41926,12.22538,"IT1204A",4,"background","urban","automatic",3,NA,NA,"ARPAE"
"ITH58_0VLG1r1U.","IT","6000010","PARCO RESISTENZA",44.21515,12.04816,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAE"
"ITH58_0WGX1qiP.","IT","6000031","SAVIGNANO",44.09687,12.40333,"IT1908A",32,"background","suburban","automatic",3,NA,NA,"ARPAE"
