"SiteCode","Countrycode","LocalCode","LocalName","Lat","Lon","EoICode","Altitude","AirQualityStationType","AirQualityStationArea","MeasurementType","InletHeight","BuildingDistance","KerbDistance","Source"
"ITC48_0NqA1tZT.","IT","642","Pavia - via Folperti",45.19468,9.16464,"IT0912A",77,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC48_0NQy1t3z.","IT","673","Voghera - via Pozzoni",44.99955,9.00844,"IT1735A",90,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC49_0Oft1trQ.","IT","600","Lodi - viale Vignati",45.30601,9.48526,"IT1286A",80,"traffic","urban","automatic",3,9,13,"ARPA-Lombardia"
"ITC49_0OhV1tqu.","IT","1265","Lodi - S. Alberto",45.30278,9.49527,"IT1965A",76,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC49_0OUU1tvM.","IT","604","Tavazzano",45.33036,9.41464,"IT0267A",85,"background","suburban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC49_0P951tfj.","IT","1266","Bertonico",45.23349,9.66625,"IT1964A",65,"background","rural","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC49_0PED1tTm.","IT","608","Codogno - via Trento",45.15937,9.69815,"IT1287A",59,"traffic","urban","automatic",3,14,9,"ARPA-Lombardia"
"ITC49_0PEe1tHI.","IT","598","S.Rocco al Porto",45.08199,9.70079,NA,50,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4A_0Pes1tns.","IT","633","Soresina",45.28398,9.8634,"IT0840A",70,"traffic","suburban","automatic",3,20,10,"ARPA-Lombardia"
"ITC4A_0PF91u19.","IT","629","Crema - via XI febbraio",45.36631,9.70395,"IT0839A",79,"background","suburban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC4A_0Ppi1tSL.","IT","1297","Spinadesco",45.15047,9.9306,NA,48,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4A_0Q3R1tPL.","IT","627","Cremona - p.zza Cadorna",45.13195,10.01574,"IT1153A",39,"traffic","urban","automatic",3,17,5,"ARPA-Lombardia"
"ITC4A_0Q7y1tR3.","IT","677","Cremona - Via Fatebenefratelli",45.14254,10.04384,"IT1739A",43,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC4B_0Rn81u8e.","IT","695","Ponti sul Mincio",45.41277,10.68336,NA,113,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4B_0S2w1tSX.","IT","664","Mantova - p.zza Gramsci",45.15174,10.78141,NA,18,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4B_0S5E1tTy.","IT","670","Mantova - S.Agnese",45.16057,10.79556,"IT1868A",22,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC4B_0S6T1tRV.","IT","663","Mantova - via Ariosto",45.14526,10.80333,"IT0709A",18,"industrial","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC4B_0SoT1t6n.","IT","703","Schivenoglia",45.01688,11.07609,NA,NA,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4B_0T5N1tBZ.","IT","697","Borgofranco - loc. Bonizzo",45.0465,11.18094,NA,14,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4C_0Mj71uR0.","IT","517","Turbigo",45.52655,8.7365,"IT1294A",141,"background","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC4C_0N6I1uGe.","IT","546","Magenta",45.46242,8.88021,NA,137,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4C_0Nv71uGn.","IT","528","Milano - Verziere",45.46335,9.19532,"IT0705A",116,"traffic","urban","automatic",3.5,4,8,"ARPA-Lombardia"
"ITC4C_0NvT1uHx.","IT","548","Milano - via Senato",45.4705,9.19746,"IT1016A",118,"traffic","urban","automatic",3.5,18,5,"ARPA-Lombardia"
"ITC4C_0O1b1uJK.","IT","705","Milano - Pascal Città Studi",45.479,9.23549,"IT1692A",122,"background","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC4C_0OGQ1uK4.","IT","531","Limito",45.48363,9.32736,"IT0706A",114,"background","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC4C_0Okq1uQz.","IT","683","Cassano d'Adda 2 - Via Milano",45.52647,9.51598,NA,133,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4D_0Nos1umo.","IT","542","Meda",45.66176,9.15664,"IT1034A",222,"traffic","urban","automatic",3.5,14,9,"ARPA-Lombardia"
"ITC4D_0O7k1uZf.","IT","674","Monza - via Machiavelli",45.58026,9.27357,"IT1743A",162,"background","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC4D_0O7z1ud2.","IT","1374","Monza Parco",45.60123,9.27507,"IT2098A",181,"background","suburban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITF31_0ayA1iax.","IT","ARPACAMPANIA_CIRILLO","Aversa Sc. Cirillo",40.9755,14.21142,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF31_0bHV1irJ.","IT","ARPACAMPANIA_CE52","Caserta CE52 Sc. De Amicis",41.07692,14.33125,"IT1487A",68,"traffic","urban","automatic",3.7,15,3.5,"ARPAC"
"ITF31_0bId1ira.","IT","ARPACAMPANIA_CE51","Caserta CE51 Ist.Manzoni",41.07861,14.33833,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF31_0bP31imJ.","IT","ARPACAMPANIA_CE54","Maddaloni CE54 Sc. Settembrini",41.04593,14.37808,"IT1488A",71,"traffic","suburban","automatic",4.4,25,8,"ARPAC"
"ITF31_0bWS1idM.","IT","ARPACAMPANIA_CS","S. Felice a Cancello C. Scolast.",40.99043,14.42399,"IT2218A",39,"traffic","suburban","automatic",3.7,10,20,"ARPAC"
"ITF32_0cax1j2a.","IT","ARPACAMPANIA_BENEVZI","Benevento Zona Industriale",41.14684,14.83625,"IT2215A",128,"background","suburban","automatic",4.4,NA,NA,"ARPAC"
"ITF32_0cRr1ixZ.","IT","ARPACAMPANIA_BENEVCS","Benevento Campo Sportivo",41.11575,14.77989,"IT2228A",125,"background","urban","automatic",4.4,NA,NA,"ARPAC"
"ITF32_0cTM1j06.","IT","ARPACAMPANIA_BN32","Benevento BN32 Via Mustilli",41.13139,14.78917,"IT0934A",159,"traffic","urban","automatic",4.4,150,6,"ARPAC"
"ITF33_0ajo1iCL.","IT","ARPACAMPANIA_VILLAAV","Pozzuoli Zona Villa Avellino",40.82288,14.12244,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF33_0b1L1iGa.","IT","ARPACAMPANIA_NA02","Napoli NA02 Osp. Santobono",40.84917,14.23111,"IT1496A",173,"traffic","urban","automatic",4.4,1,4,"ARPAC"
"ITF33_0b4Z1iHO.","IT","ARPACAMPANIA_NA06","Napoli NA06 Museo Nazionale",40.85417,14.25111,"IT0898A",46,"traffic","urban","automatic",4.4,5,7,"ARPAC"
"ITF33_0b571iIv.","IT","ARPACAMPANIA_NA01","Napoli NA01 Oss. Astronomico",40.86369,14.25451,"IT1497A",145,"background","urban","automatic",4.4,NA,NA,"ARPAC"
"ITF33_0b7t1iHO.","IT","ARPACAMPANIA_NA07","Napoli NA07 Ferrovia",40.85417,14.27167,"IT1491A",13,"traffic","urban","automatic",4.4,22.3,6.7,"ARPAC"
"ITF33_0b9g1iKL.","IT","ARPACAMPANIA_NA08","Napoli NA08 Osp.N.Pellegrini",40.8725,14.28278,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF33_0bCE1iR8.","IT","ARPACAMPANIA_CASORIA","Casoria Scuola Palizzi",40.91463,14.29861,"IT2216A",57,"background","suburban","automatic",4.4,NA,NA,"ARPAC"
"ITF33_0bfi1iSi.","IT","ARPACAMPANIA_MARCONI","S.Vitaliano Scuola Marconi",40.92443,14.48145,"IT2212A",31,"background","urban","automatic",4.4,NA,NA,"ARPAC"
"ITF33_0bJ81iIx.","IT","ARPACAMPANIA_NA09","Napoli NA09 Via Argine",40.86389,14.34139,"IT1493A",33,"traffic","suburban","automatic",4.4,NA,5,"ARPAC"
"ITF33_0bKZ1iBE.","IT","ARPACAMPANIA_PR","Portici Parco Reggia",40.81597,14.35025,"IT2270A",75,"background","urban","automatic",4.4,NA,NA,"ARPAC"
"ITF33_0bNm1iVJ.","IT","ARPACAMPANIA_CAPORALE","Acerra Scuola Caporale",40.94046,14.3702,"IT2219A",27,"traffic","urban","automatic",4.4,9,5,"ARPAC"
"ITF33_0bQA1iS8.","IT","ARPACAMPANIA_AREAASI","Pomigliano D'Arco Area ASI",40.92083,14.385,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF33_0bSk1ibc.","IT","ARPACAMPANIA_ACERRAZI","Acerra Zona Industriale",40.97965,14.40098,"IT2211A",29,"industrial","suburban","automatic",4.4,NA,NA,"ARPAC"
"ITF34_0cSl1iRn.","IT","ARPACAMPANIA_ALIGHIERI","Avellino Scuola Alighieri",40.9187,14.78549,"IT2227A",357,"traffic","urban","automatic",4.4,8,3,"ARPAC"
"ITF34_0cZ81iEO.","IT","ARPACAMPANIA_SOLOFRAZI","Solofra Zona Industriale",40.83556,14.825,"IT2210A",303,"industrial","suburban","automatic",4.4,NA,NA,"ARPAC"
"ITF35_0c5r1hz0.","IT","ARPACAMPANIA_SOLIMENA","Nocera Inferiore Sc. Solimena",40.74025,14.64347,"IT2214A",48,"traffic","urban","automatic",4.4,1,2,"ARPAC"
"ITF35_0cFM1huI.","IT","ARPACAMPANIA_STADIO","Cava dei Tirreni Stadio",40.71098,14.70244,"IT2213A",191,"background","suburban","automatic",4.4,NA,NA,"ARPAC"
