"SiteCode","Countrycode","LocalCode","LocalName","Lat","Lon","EoICode","Altitude","AirQualityStationType","AirQualityStationArea","MeasurementType","InletHeight","BuildingDistance","KerbDistance","Source"
"ITC48_0NQy1t3z.","IT","673","Voghera - via Pozzoni",44.99955,9.00844,"IT1735A",90,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC49_0OhV1tqu.","IT","1265","Lodi - S. Alberto",45.30278,9.49527,"IT1965A",76,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC49_0Ow61trz.","IT","607","Abbadia Cerreto",45.3095,9.58579,"IT1288A",64,"background","rural","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC49_0P951tfj.","IT","1266","Bertonico",45.23349,9.66625,"IT1964A",65,"background","rural","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC4A_0PF91u19.","IT","629","Crema - via XI febbraio",45.36631,9.70395,"IT0839A",79,"background","suburban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC4A_0Ppi1tSL.","IT","1297","Spinadesco",45.15047,9.9306,NA,48,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4A_0Q1u1tmz.","IT","626","Corte de Cortesi",45.27849,10.0062,"IT0842A",57,"background","rural","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC4A_0Q7y1tR3.","IT","677","Cremona - Via Fatebenefratelli",45.14254,10.04384,"IT1739A",43,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC4B_0RMN1srv.","IT","665","Viadana",44.92469,10.5175,"IT2230A",37,"background","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC4B_0Rn81u8e.","IT","695","Ponti sul Mincio",45.41277,10.68336,NA,113,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4B_0S5E1tTy.","IT","670","Mantova - S.Agnese",45.16057,10.79556,"IT1868A",22,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC4B_0SoT1t6n.","IT","703","Schivenoglia",45.01688,11.07609,NA,NA,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4C_0N0z1uUX.","IT","551","Arconate (aria)",45.54852,8.84732,NA,182,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4C_0N6I1uGe.","IT","546","Magenta",45.46242,8.88021,NA,137,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4C_0NNm1tnY.","IT","545","Motta Visconti (aria)",45.28196,8.98856,"IT1174A",100,"background","rural","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC4C_0Npq1uUw.","IT","544","Cormano",45.55104,9.16261,NA,153,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4C_0Nv71uGn.","IT","528","Milano - Verziere",45.46335,9.19532,NA,116,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4C_0O1b1uJK.","IT","705","Milano - Pascal Città Studi",45.479,9.23549,"IT1692A",122,"background","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC4C_0OGQ1uK4.","IT","531","Limito",45.48363,9.32736,"IT0706A",114,"background","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC4D_0Nos1umo.","IT","542","Meda",45.66176,9.15664,NA,222,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4D_0O7k1uZf.","IT","674","Monza - via Machiavelli",45.58026,9.27357,"IT1743A",162,"background","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC4D_0O7z1ud2.","IT","1374","Monza Parco",45.60123,9.27507,"IT2098A",181,"background","suburban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITF31_0bId1ira.","IT","ARPACAMPANIA_CE51","Caserta CE51 Ist.Manzoni",41.07861,14.33833,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF31_0bP31imJ.","IT","ARPACAMPANIA_CE54","Maddaloni CE54 Sc. Settembrini",41.04593,14.37808,"IT1488A",71,"traffic","suburban","automatic",3.7,25,8,"ARPAC"
"ITF31_0bWS1idM.","IT","ARPACAMPANIA_CS","S. Felice a Cancello C. Scolast.",40.99043,14.42399,"IT2218A",39,"traffic","suburban","automatic",3.7,10,20,"ARPAC"
"ITF32_0cax1j2a.","IT","ARPACAMPANIA_BENEVZI","Benevento Zona Industriale",41.14684,14.83625,"IT2215A",128,"background","suburban","automatic",3.7,NA,NA,"ARPAC"
"ITF32_0cRr1ixZ.","IT","ARPACAMPANIA_BENEVCS","Benevento Campo Sportivo",41.11575,14.77989,"IT2228A",125,"background","urban","automatic",3.7,NA,NA,"ARPAC"
"ITF33_0ajo1iCL.","IT","ARPACAMPANIA_VILLAAV","Pozzuoli Zona Villa Avellino",40.82288,14.12244,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF33_0b571iIv.","IT","ARPACAMPANIA_NA01","Napoli NA01 Oss. Astronomico",40.86369,14.25451,"IT1497A",145,"background","urban","automatic",3.7,NA,NA,"ARPAC"
"ITF33_0bCE1iR8.","IT","ARPACAMPANIA_CASORIA","Casoria Scuola Palizzi",40.91463,14.29861,"IT2216A",57,"background","suburban","automatic",3.7,NA,NA,"ARPAC"
"ITF33_0bfi1iSi.","IT","ARPACAMPANIA_MARCONI","S.Vitaliano Scuola Marconi",40.92443,14.48145,"IT2212A",31,"background","urban","automatic",3.7,NA,NA,"ARPAC"
"ITF33_0bKZ1iBE.","IT","ARPACAMPANIA_PR","Portici Parco Reggia",40.81597,14.35025,"IT2270A",75,"background","urban","automatic",3.7,NA,NA,"ARPAC"
"ITF33_0bYj1i2H.","IT","ARPACAMPANIA_PASCOLI","Torre Annunziata Sc. Pascoli",40.7605,14.43813,"IT2217A",45,"background","suburban","automatic",3.7,NA,NA,"ARPAC"
"ITF34_0cSx1iSV.","IT","ARPACAMPANIA_AV41","Avellino AV41 Sc. V Circolo",40.92305,14.78667,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF34_0dGv1j47.","IT","ARPACAMPANIA_VILLACOM","Ariano Irpino Stadio",41.15631,15.0965,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF35_0cFM1huI.","IT","ARPACAMPANIA_STADIO","Cava dei Tirreni Stadio",40.71098,14.70244,"IT2213A",191,"background","suburban","automatic",3.7,NA,NA,"ARPAC"
"ITF35_0cRT1hrl.","IT","ARPACAMPANIA_SA23","Salerno SA23 Scuola Conti",40.69528,14.7775,"IT1041A",41,"background","suburban","automatic",3.7,NA,NA,"ARPAC"
"ITF35_0cVp1hmK.","IT","ARPACAMPANIA_MERC","Salerno Parco Mercatello",40.66164,14.80451,"IT2269A",11,"background","urban","automatic",3.7,NA,NA,"ARPAC"
"ITF35_0cxT1heB.","IT","ARPACAMPANIA_PARCOF","Battipaglia Parco Fiume",40.61108,14.97586,"IT2268A",70,"background","urban","automatic",3.7,NA,NA,"ARPAC"
"ITH20_0SD71vNr.","IT","402204","RIVA GAR",45.89147,10.84449,"IT0753A",73,"background","suburban","automatic",4,NA,NA,"APPA-Trento"
"ITH20_0SiY1vO0.","IT","402206","ROVERETO LGP",45.89244,11.03941,"IT0591A",200,"background","urban","automatic",4,NA,NA,"APPA-Trento"
"ITH20_0SuU1wB6.","IT","402212","PIANA ROTALIANA",46.19684,11.11343,"IT1930A",227,"traffic","rural","automatic",4,NA,NA,"APPA-Trento"
"ITH20_0SVQ1vsf.","IT","402203","MONTE GAZA",46.08253,10.95804,"IT1191A",1601,"background","rural","automatic",4,NA,NA,"APPA-Trento"
